Actor_id,Name,Birthdate,Picture,PopularityMetric
6614,Cole Hauser,1975-03-22,4cLTfmwGXOjgXOavjQyCLA36hIM.jpg,128.783
1373737,Florence Pugh,1996-01-03,fGx68Qen1SEHFA9CGW3miCjRDBW.jpg,118.818
21416,William Devane,1939-09-05,7MGLsJXn3URkYeZzqzAcgpYXFum.jpg,118.066
1980651,Finn Little,2006-06-09,zWqSCCRvC2Bsb1T5t8JWqakVKmx.jpg,112.899
56457,Aimee Garcia,1978-11-28,4z3mkoa8jHpqjzfbhzYMeKe2Mf7.jpg,107.949
1972974,Isabel May,2000-11-21,9AT39NSHNQ44VebDrqupxplmyLK.jpg,106.253
1136406,Tom Holland,1996-06-01,bBRlrpJm9XkNSg0YT5LCaxqoFMX.jpg,104.302
33260,Freddie Prinze Jr.,1976-03-08,8V9yNBjCNRBKROyjCLKLJGcCBdG.jpg,104.267
976,Jason Statham,1967-07-26,whNwkEQYWLFJA8ij0WyOOAD5xhQ.jpg,97.811
224513,Ana de Armas,1988-04-30,vkoSSVrGxFYvtr2uUdz99ENXF1v.jpg,97.738
56734,Chloë Grace Moretz,1997-02-10,u08QwcFnJpMtsDEYSlbUkMuE7bP.jpg,95.568
192,Morgan Freeman,1937-06-01,905k0RFzH0Kd6gx8oSxRdnr6FL.jpg,95.033
1312450,Melanie Zanetti,1985-03-20,lbUQ7ilvBtWMU23reKsHg3jRmsf.jpg,94.452
125025,Joey King,1999-07-30,kL0lWLJA6lbvmPM3YL0ISE6rVr6.jpg,87.647
117642,Jason Momoa,1979-08-01,6dEFBpZH8C8OijsynkSajQT99Pb.jpg,87.466
17521,Kelly Reilly,1977-07-18,gof8bWW9E7MH30GpvA97PwGiIuu.jpg,85.275
6161,Jennifer Connelly,1970-12-12,p17ymzw1sb9eo2SOp88jnwyryan.jpg,85.191
18918,Dwayne Johnson,1972-05-02,cgoy7t5Ve075naBPcewZrc08qGw.jpg,81.026
111924,Ryan Grantham,1998-01-01,wlWeQOjIcwColETLJmaaqm7eRuo.jpg,79.933
1083010,Letitia Wright,1993-10-31,kfA5KhyU6OSy4NrMzHCxYU7A0DW.jpg,77.471
130414,Emily Beecham,1984-05-12,cwBsTcY0FLnVYvRUY6cTutZsfPs.jpg,75.071
31,Tom Hanks,1956-07-09,xndWFsBlClOJFRdhSt4NBwiPq2o.jpg,74.891
56680,Luke Grimes,1984-01-21,52KsHFCu0LToakebnxqC4VeRixl.jpg,74.313
936932,Adam DiMarco,1994-04-14,nDhp0bQqHPZG64BxjlixAW9qriY.jpg,72.48
114019,Luke Evans,1979-04-15,qUkYJcrDc4M0LHNYASs30luFvw0.jpg,72.12
12835,Vin Diesel,1967-07-18,7rwSXluNWZAluYMOEWBxkPmckES.jpg,71.515
115440,Sydney Sweeney,1997-09-12,afr2eoktU4lFYtmtfKo05EbQdXo.jpg,71.157
10859,Ryan Reynolds,1976-10-23,4SYTH5FdB0dAORV98Nwg3llgVnY.jpg,70.099
74568,Chris Hemsworth,1983-08-11,jpurJ9jAcLCYjgHHfYF32m3zJYm.jpg,69.301
1356210,Millie Bobby Brown,2004-02-19,2685xGmq68G6tmnUbfgSR6rywEV.jpg,69.033
205976,Kelsey Asbille,1991-09-09,8mXqxKaPc6FpAnLeZlPaaUaJHdC.jpg,68.516
164945,Sarah Shahi,1980-01-10,shiLCJNyvi9xlUZw4bTuRkhrKpm.jpg,66.638
2019485,Kayla Wallace,,dvc9yIdCxJMmmaJF1ul4rZkPt1Z.jpg,66.223
79127,Claudia Harrison,1976-01-01,dSK2BBupETZYcsO0DfP2OD1AMnT.jpg,66.016
2524,Tom Hardy,1977-09-15,sGMA6pA2D6X0gun49igJT3piHs3.jpg,64.726
974169,Jenna Ortega,2002-09-27,4XxiCzbBzTlNIjNyxUeagnYXcDf.jpg,60.321
543261,Karen Gillan,1987-11-28,54BzgBd8TSUzrMizwHeOJzcgwzF.jpg,59.996
1369057,Katherine Cunningham,,z9O8kEPRiIDh4lhC0GCryQXhmX.jpg,59.553
3896,Liam Neeson,1952-06-07,bboldwqSC6tdw2iL6631c98l2Mn.jpg,58.895
43858,Ryan Hurst,1976-06-19,467wpYYeeDyF4MeoDMuNp4bwgzH.jpg,58.294
1269,Kevin Costner,1955-01-18,bykmxJHLfbFM3NT05RZXhx8YTzF.jpg,58.097
118545,Dakota Johnson,1989-10-04,qRPULEOXibPEmSljRRvnYHxXGBq.jpg,58.087
5292,Denzel Washington,1954-12-28,jj2Gcobpopokal0YstuCQW0ldJ4.jpg,54.764
