Connection_id,Actor_id,Movie_id
1,1100017,144432
2,125992,152031
3,125992,41278
4,44879,5698
5,44866,44341
6,125992,94643
7,1086711,49270
8,100047,127105
9,29950,127105
10,1086711,20650
11,89521,20650
12,100047,20650
13,1086711,118943
14,29950,118943
15,148053,118943
16,1086710,118943
17,28972,2929
18,28971,2929
19,30000,53759
20,29536,53759
21,558286,53759
22,100045,130450
23,89521,130450
24,1157995,130450
25,1119769,130450
26,100804,127111
27,1119769,127111
28,29950,127111
29,8828,42553
30,99464,42553
31,128164,42553
32,30212,42553
33,97991,42553
34,8828,98056
35,30779,98056
36,29950,98056
37,30212,98056
38,99464,98056
39,1037794,105408
40,8835,28196
41,100045,28196
42,8829,28196
43,29950,28196
44,8834,28196
45,100245,28196
46,13848,22858
47,13848,53384
48,14435,53384
49,147991,53384
50,13848,33300
51,147991,33300
52,89600,33300
53,89522,33300
54,13848,53376
55,14435,53376
56,89600,53376
57,2016,53376
58,100047,92349
59,13848,22870
60,30018,22870
61,89522,22870
62,13848,22879
63,147991,22879
64,13848,53390
65,89522,53390
66,96725,53390
67,13848,22938
68,14435,22938
69,147985,22938
70,13848,53369
71,1024165,100246
72,14978,100246
73,13848,53400
74,147991,53400
75,14435,53400
76,89601,53400
77,30018,53400
78,13848,53371
79,13848,53397
80,14435,53397
81,108627,53397
82,148021,53397
83,13848,53392
84,108627,53392
85,13848,53401
86,14435,53401
87,89609,53401
88,13848,53398
89,14435,53398
90,147991,53398
91,100045,98078
92,8829,98078
93,29950,98078
94,8828,98078
95,30779,98078
96,30212,98078
97,13848,22885
98,147985,22885
99,30018,53385
100,13848,53385
101,108627,53385
102,13848,22892
103,2016,22892
104,14435,22892
105,13848,53374
106,89601,53374
107,14435,53374
108,13848,22895
109,108627,22895
110,13848,53387
111,14435,53387
112,13856,53387
113,89603,53387
114,89601,53387
115,89600,53387
116,13848,22936
117,89600,22936
118,89601,22936
119,13848,53368
120,89600,53368
121,89522,53368
122,148053,53368
123,30018,53368
124,13848,22940
125,89603,22940
126,89522,22940
127,13848,22941
