Movie_id,Title,Release,Poster,PopularityMetric
278,The Shawshank Redemption,1994-09-23,/lyQBXzOQSuE59IsHyhrp0qIiPAz.jpg,3061085
155,The Dark Knight,2008-07-16,/qJ2tW6WMUDux911r6m7haRef0WH.jpg,3035466
27205,Inception,2010-07-15,/oYuLEt3zVCKq57qu2F8dT7NIa6f.jpg,2697764
550,Fight Club,1999-10-15,/pB8BM7pdSp6B6Ih7QZ4DrQ3PmJK.jpg,2479763
13,Forrest Gump,1994-06-23,/arw2vcBveWOVZr6pxd9XTd1TdQa.jpg,2391360
157336,Interstellar,2014-11-05,/gEU2QniE6E77NI6lCU6MxlNBvIx.jpg,2361997
680,Pulp Fiction,1994-09-10,/d5iIlFn5s0ImszYzBPb8JPIfbXD.jpg,2346225
603,The Matrix,1999-03-30,/f89U3ADr1oiB1s9GkdPOEpXUk5H.jpg,2164936
238,The Godfather,1972-03-14,/3bhkrj58Vtu7enYsRolD1fZdja1.jpg,2136677
120,The Lord of the Rings: The Fellowship of the Ring,2001-12-18,/6oom5QYQ2yQTMJIbnvbkBL9cHo6.jpg,2118668
122,The Lord of the Rings: The Return of the King,2003-12-01,/rCzpDGLbOoPwLjy3OAm5NUPOTrC.jpg,2087797
807,Se7en,1995-09-22,/6yoghtyTpznpBik8EngEmJskVUO.jpg,1922041
49026,The Dark Knight Rises,2012-07-17,/hr0L2aueqlP2BYUblTTjmtn0hw4.jpg,1921050
121,The Lord of the Rings: The Two Towers,2002-12-18,/5VTN0pR8gcqV3EPUHHfMGnJYN9L.jpg,1882296
68718,Django Unchained,2012-12-25,/7oWY8VDWW7thTzWh3OKYRkWUlD5.jpg,1800504
98,Gladiator,2000-05-04,/ty8TGRuvJLPUmAR1H1nRIsgwvim.jpg,1769248
106646,The Wolf of Wall Street,2013-12-25,/34m2tygAYBGqA9MXKhRDtzYd4MR.jpg,1696874
16869,Inglourious Basterds,2009-08-19,/7sfbEnaARXDDhKm0CZ7D7uc2sbo.jpg,1693141
272,Batman Begins,2005-06-10,/4MpN4kIEqUjW8OPtOQJXlTdHiJV.jpg,1653195
274,The Silence of the Lambs,1991-02-14,/uS9m8OBk1A8eM9I042bx8XXpqAq.jpg,1644730
475557,Joker,2019-10-01,/udDclJoHjfjb8Ekgsd4FDteOkCU.jpg,1618197
857,Saving Private Ryan,1998-07-24,/uqx37cS8cpHg8U35f9U5IBlrCV3.jpg,1577213
11324,Shutter Island,2010-02-14,/4GDy0PHYX3VRXUtwK5ysFbg3kEx.jpg,1558727
424,Schindler's List,1993-12-15,/sF1U4EUQS8YHUYjNl3pMGNIQyr0.jpg,1531349
1124,The Prestige,2006-10-19,/Ag2B2KHKQPukjH7WutmgnnSNurZ.jpg,1522442
11,Star Wars,1977-05-25,/6FfCtAuVAW8XJjZ7eWeLibRLWTw.jpg,1517798
24428,The Avengers,2012-04-25,/RYMX2wcKCBAr24UyPD7xwmjaTn.jpg,1513846
1422,The Departed,2006-10-04,/nT97ifVT2J1yMQmeq20Qblg61T.jpg,1494628
497,The Green Mile,1999-12-10,/8VG8fDNiy50H4FedGwdSVUPoaJe.jpg,1493642
1407241,Stranger Things,2016-07-15,/wu3ivHAd3ex4YDx7hrDyPas24vT.jpg,1457211
1412450,Stranger Things,2016-06-15,/e2dRfbpjsYVtallXcrIyc3Nx1ia.jpg,1457211
1891,The Empire Strikes Back,1980-05-20,/nNAeTmF4CtdSgMDplXTDPOpYzsX.jpg,1450789
240,The Godfather Part II,1974-12-20,/hek3koDUyRQk7FIhPXsa6mT2Zc3.jpg,1437581
19995,Avatar,2009-12-15,/kyeqWdyUXW608qlYkRqosgbbJyK.jpg,1435084
105,Back to the Future,1985-07-03,/fNOH9f1aA7XRTzl1sAOx9iF553Q.jpg,1385029
77,Memento,2000-10-11,/yuNs09hvpHVU1cBTCAk9zxsL2oW.jpg,1384880
299534,Avengers: Endgame,2019-04-24,/or06FN3Dka5tukK1e9sl16pB3iy.jpg,1366891
597,Titanic,1997-11-18,/9xjZS2rlVxm8SFx8kPC3aIGCOYQ.jpg,1344485
769,GoodFellas,1990-09-12,/aKuFiU82s5ISJpGZp7YkIr3kCUd.jpg,1333476
118340,Guardians of the Galaxy,2014-07-30,/r7vmZjiyZw9rpJMQJdXpjgiCOk9.jpg,1321769
101,Léon: The Professional,1994-09-14,/yI6X2cCM5YPJtxMhUd3dPGqDAhw.jpg,1308006
299536,Avengers: Infinity War,2018-04-25,/7WsyChQLEftFiDOVTGkv3hFpyyt.jpg,1295774
37165,The Truman Show,1998-06-04,/vuza0WqY239yBXOadKlGwJsZJFE.jpg,1292052
22,Pirates of the Caribbean: The Curse of the Black Pearl,2003-07-09,/z8onk7LV9Mmw6zKz4hT6pzzvmvl.jpg,1272563
10681,WALL·E,2008-06-22,/hbhFnRzzg6ZDmm8YAmxBnQpQIPh.jpg,1267290
24,Kill Bill: Vol. 1,2003-10-10,/v7TaX8kXMXs5yFFGR41guUDNcnB.jpg,1255895
14,American Beauty,1999-09-15,/wby9315QzVKdW9BonAefg8jGTTb.jpg,1252664
280,Terminator 2: Judgment Day,1991-07-03,/5M0j0B18abtBI5gi2RhfjjurTqb.jpg,1238496
73,American History X,1998-07-01,/euypWkaYFOLW3e5rLIcTAjWnhhT.jpg,1235674
752,V for Vendetta,2006-02-23,/1avD1JeaRiJX5M4ahPdZPypGoGN.jpg,1218518
293660,Deadpool,2016-02-09,/zq8Cl3PNIDGU3iWNRoc5nEZ6pCe.jpg,1211575
8587,The Lion King,1994-06-24,/sKCr78MXSLixwmZ8DyJLrpMsd15.jpg,1209326
629,The Usual Suspects,1995-07-19,/bUPmtQzrRhzqYySeiMpv7GurAfm.jpg,1194520
14160,Up,2009-05-28,/vpbaStTMt8qqXaEgnOR2EE4DNJk.jpg,1187723
1726,Iron Man,2008-04-30,/78lPtwv72eTNqFW9COBYI0dWDJa.jpg,1179068
694,The Shining,1980-05-23,/xazWoLealQwEgqZ89MLZklLZD3k.jpg,1172508
640,Catch Me If You Can,2002-12-16,/ctjEj2xM32OvBXCq8zAdK3ZrsAj.jpg,1172347
1892,Return of the Jedi,1983-05-25,/jQYlydvHm3kUix1f8prMucrplhm.jpg,1170798
76341,Mad Max: Fury Road,2015-05-13,/8tZYtuWezp8JbcsvHYO0O46tFbo.jpg,1170275
12,Finding Nemo,2003-05-30,/ggQ6o8X5984OCh3kZi2UIJQJY5y.jpg,1165162
1293290,THE FRIENDS,,/5S2KX5iw84SYMSTztMSu7JfCtVB.jpg,1149414
489,Good Will Hunting,1997-12-05,/bABCBKYBK7A5G1x0FzoeoNfuj2.jpg,1144305
38,Eternal Sunshine of the Spotless Mind,2004-03-19,/5MwkWH9tYHv3mV9OdYTMR5qreIz.jpg,1141577
500,Reservoir Dogs,1992-09-02,/xi8Iu6qyTfyZVDVy60raIOYJJmk.jpg,1136597
197,Braveheart,1995-05-24,/or1gBugydmjToAEq7OZY0owwFk.jpg,1133197
6977,No Country for Old Men,2007-06-13,/bj1v6YKF8yHqA489VFfnQvOJpnc.jpg,1128917
862,Toy Story,1995-10-30,/uXDfjJbdP4ijW5hWSBrPrlKpxab.jpg,1127776
210577,Gone Girl,2014-10-01,/qymaJhucquUwjpb8oiqynMeXnID.jpg,1126408
329,Jurassic Park,1993-06-11,/oU7Oq2kFAAlGqbU4VoAE36g4hoI.jpg,1125090
510,One Flew Over the Cuckoo's Nest,1975-11-19,/3jcbDmRFiQ83drXNOvRDeKHxS0C.jpg,1122106
745,The Sixth Sense,1999-08-06,/4AfSDjjCy6T5LA1TMz0Lh2HlpRh.jpg,1104057
244786,Whiplash,2014-10-10,/7fn624j5lj3xTme2SgiLCeuedmO.jpg,1082103
85,Raiders of the Lost Ark,1981-06-12,/ceG9VzoRAVGwivFU403Wc3AHRys.jpg,1078706
70160,The Hunger Games,2012-03-12,/yXCbOiVDCxO71zI7cuwBRXdftq8.jpg,1047573
585,"Monsters, Inc.",2001-11-01,/sgheSKxZkttIe8ONsf2sWXPgip3.jpg,1032998
453,A Beautiful Mind,2001-12-11,/zwzWCmH72OSC9NA0ipoqw5Zjya8.jpg,1025140
348,Alien,1979-05-25,/vfrQk5IPloGg1v9Rzbh2Eg3VGyM.jpg,1020907
140607,Star Wars: The Force Awakens,2015-12-15,/wqnLdwVXoBjKibFRR5U3y0aDUhs.jpg,1003452
12445,Harry Potter and the Deathly Hallows: Part 2,2011-07-12,/c54HpQmuwXjHq2C9wmoACjxoom3.jpg,1002581
562,Die Hard,1988-07-15,/yFihWxQcmqcaBR31QM6Y8gT6aYV.jpg,993627
103,Taxi Driver,1976-02-09,/ekstpH614fwDX8DUln1a2Opz0N8.jpg,984057
423,The Pianist,2002-09-17,/2hFvxCCWrTmCYwfy7yum0GKRi3Y.jpg,972607
286217,The Martian,2015-09-30,/5BHuvQ6p9kfc091Z8RiFNhCwL4b.jpg,971828
111,Scarface,1983-12-09,/iQ5ztdjvteGeboxtmRdXEChJOHh.jpg,971609
218,The Terminator,1984-10-26,/hzXSE66v6KthZ8nPoLZmsi2G05j.jpg,969181
99861,Avengers: Age of Ultron,2015-04-22,/4ssDuvEDkSArWEdyBl2X5EHvYKU.jpg,964282
438631,Dune,2021-09-15,/d5NXSklXo0qyIYkgV94XAgMIckC.jpg,963013
634649,Spider-Man: No Way Home,2021-12-15,/5weKu49pzJCt06OPpjvT80efnQj.jpg,959122
107,Snatch,2000-09-01,/56mOJth6DJ6JhgoE2jtpilVqJO.jpg,949566
641,Requiem for a Dream,2000-10-06,/nOd6vjEmzCT0k4VYqsA2hwyi87C.jpg,942901
100402,Captain America: The Winter Soldier,2014-03-20,/tVFRpFw3xTedgPGqxW0AOI8Qhh0.jpg,939172
10195,Thor,2011-04-21,/prSfAi1xGrhLQNxVSUFh61xQ4Qy.jpg,937057
1771,Captain America: The First Avenger,2011-07-22,/vSNxAJTlD0r02V9sPYpOjqDZXUK.jpg,936888
10193,Toy Story 3,2010-06-16,/AbbXspMOwdvwWZgVN0nabZq03Ec.jpg,935835
68721,Iron Man 3,2013-04-18,/qhPtAc1TKbMPqNvcdXSOn9Bn7hZ.jpg,935671
389,12 Angry Men,1957-04-10,/ow3wq89wM8qd5X7hWKxiRfsFf9C.jpg,933335
120467,The Grand Budapest Hotel,2014-02-26,/eWdyYQreja6JGCzqHWXpWHDrrPo.jpg,931241
557,Spider-Man,2002-05-01,/gh4cZbhZxyTbgxQPxD0dOudNPTn.jpg,927599
281957,The Revenant,2015-12-25,/ji3ecJphATlVgWNY0B0RVXZizdf.jpg,915265
185,A Clockwork Orange,1971-12-19,/4sHeTAp65WrSSuc05nRBKddhBxO.jpg,914532
466272,Once Upon a Time… in Hollywood,2019-07-24,/8j58iEBw9pOXFD2L0nt0ZXeHviB.jpg,914275
671,Harry Potter and the Philosopher's Stone,2001-11-16,/wuMc08IPKEatf9rnMNXvIDxqP4W.jpg,908504
10138,Iron Man 2,2010-04-28,/6WBeq4fCfn7AN0o21W9qNcRF2l9.jpg,906771
49051,The Hobbit: An Unexpected Journey,2012-12-12,/yHA9Fc37VmpUA5UncTxxo3rTGVA.jpg,905274
872585,Oppenheimer,2023-07-19,/8Gxv8gSFCU0XGDykEGv7zR1n2ua.jpg,903440
1893,Star Wars: Episode I - The Phantom Menace,1999-05-19,/6wkfovpn7Eq8dYNKaG5PY3q2oq6.jpg,897234
12405,Slumdog Millionaire,2008-11-12,/5leCCi7ZF0CawAfM5Qo2ECKPprc.jpg,896890
263115,Logan,2017-02-28,/fnbjcRDYn6YviCcePDnGdyAkYsB.jpg,894210
115,The Big Lebowski,1998-03-06,/3bv6WAp6BSxxYvB5ozKFUYuRA8C.jpg,893619
1271,300,2007-03-07,/h7Lcio0c9ohxPhSZg42eTlKIVVY.jpg,893577
271110,Captain America: Civil War,2016-04-27,/rAGiXaUfPzY7CDEyNKUofk3Kw2e.jpg,893007
18785,The Hangover,2009-06-02,/uluhlXubGu1VxU63X9VHCLWDAYP.jpg,892070
2062,Ratatouille,2007-06-28,/t3vaWRPSf6WjDSamIkKDs1iQWna.jpg,891778
1895,Star Wars: Episode III - Revenge of the Sith,2005-05-17,/xfSAoBEm9MNBjmlNcDYLvLSMlnq.jpg,889596
141,Donnie Darko,2001-10-24,/j73zf3TjWR9j8pHLndaHWh0YWvN.jpg,885548
49047,Gravity,2013-10-03,/kZ2nZw8D681aphje8NJi8EfbL1U.jpg,883680
284054,Black Panther,2018-02-13,/uxzzxijgPIY7slzFvMotPv8wjKA.jpg,878637
146233,Prisoners,2013-09-19,/tuZhZ6biFMr5n9YSVuHOJnNL1uU.jpg,878338
414906,The Batman,2022-03-01,/74xTEgt7R36Fpooo50r9T25onhq.jpg,876118
150540,Inside Out,2015-06-09,/2H1TmgdfNtsKlU9jKdeNyYL5y8T.jpg,872835
44214,Black Swan,2010-12-03,/rH19vkjAzCZ0HIUvrgB3rowm68h.jpg,862409
9806,The Incredibles,2004-10-27,/2LqaLgk4Z226KkgPJuiOQ58wvrm.jpg,860036
284053,Thor: Ragnarok,2017-10-02,/rzRwTcFvttcN1ZpX2xv4j3tSdJu.jpg,860008
78,Blade Runner,1982-06-25,/fwhLegA6z40W0DIy6EGXhzDzlOP.jpg,856827
205596,The Imitation Game,2014-11-14,/zSqJ1qFq8NXFfi7JeIYMlzyR0dx.jpg,855887
10191,How to Train Your Dragon,2010-03-18,/ygGmAO60t8GyqUo9xYeYxSZAR3b.jpg,852959
6479,I Am Legend,2007-12-12,/iPDkaSdKk2jRLTM65UOEoKtsIZ8.jpg,852858
